German,English
Ich,I
ist,is
ich,I
nicht,not
Sie,They
du,you
das,that
die,the
es,it
und,and
der,the
zu,to
sie,they
Das,That
ein,one
in,in
wir,we
Du,You
mir,me
mit,with
Was,What
den,the
mich,myself
was,what
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,was
haben,have
für,for
Ja,Yes
hier,here
an,at
habe,belongings
Er,He
bin,am
wie,how
noch,still
dir,you
uns,us
sich,oneself
Die,The
nur,only
einen,A
Nein,No
dem,the
ihn,him
auch,too
hast,haste
sein,be
ihr,you
da,there
aus,from
kann,can
aber,but
Aber,But
schon,already
wenn,if
wird,becomes
um,at
Wie,How
als,than
bist,are
im,in
mal,be
doch,nevertheless
gut,good
meine,my
jetzt,now
weiß,white
Wenn,If
werden,become
Der,The
nach,after
ja,yes
Oh,Oh
oder,or
dann,then
will,Wants
mein,my
mehr,more
keine,none
etwas,something
alles,all
muss,must
immer,always
nichts,nothing
man,one
wieder,again
bei,at
hab,Have
machen,make
vor,before
Mann,Husband
ihm,him
einem,A
tun,do
zum,To
können,can
sagen,say
werde,Will
denn,because
Ist,Is
Ein,One
Warum,Why
einer,one
gehen,go
sehen,see
sehr,very much
geht,goes
alle,all
über,above
müssen,must
diese,these
einfach,simple
euch,you
des,of
nie,never
Also,So
Wo,Where
los,lot
Zeit,Time
Ihnen,Them
gibt,gives
wirklich,real
Hey,Hey
Danke,Thank you
deine,your
würde,dignity
soll,debit
Da,There
hatte,had
Hier,Here
wissen,know
bitte,please
viel,a lot
Dann,Then
So,So
gesagt,told
Ihr,You
am,on the
kein,no
Komm,Come
Wer,Who
zurück,back
wurde,became
In,In
wollte,would
Frau,Wife
Leben,Life
wäre,Would
wo,where
damit,in order that
Nicht,Not
Gott,God
Leute,People
kannst,Can
heute,today
meinen,think
dieser,this
dein,your
kommt,comes
kommen,come
willst,Want
Na,Well
wollen,to want
sicher,sure
ganz,whole
Jetzt,Now
Mein,My
Mr,Mr
also,so
zur,the
Hast,Haste
Gut,Good
hätte,Had
weil,because
tut,does
Hallo,Hello
Okay,Ok
macht,power
waren,goods
bis,until
Vielleicht,Perhaps
könnte,might
Eine,One
Bitte,Please
weg,path
seine,his
lassen,let
Vater,Father
gesehen,seen
Nun,Now
gerade,straight
Alles,All
glaube,belief
Tag,Day
ab,off
Geld,Money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,No
durch,through
zwei,two
diesen,this
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,her
Mutter,Mother
reden,speak
anderen,Other
dachte,Thought
daß,that
möchte,Want
wirst,Will
gehört,heard
weißt,white
Keine,None
raus,out
Meine,My
paar,pair
besser,better
ob,whether
her,here
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,Lot
diesem,This
meinem,My
lange,long
Lass,Let
dieses,this
helfen,help
unsere,ours
Weg,Path
selbst,self
Nur,Only
finden,to find
Mal,Be
jemand,someone
denke,think
Ach,Oh
Nacht,Night
genau,exactly
gar,done
sagt,says
Welt,World
Auf,On
Mädchen,Girl
ins,into
hin,there
vom,from the
schön,beautiful
warum,why
weiter,farther
Leid,Sorrow
gleich,equal
wer,who
Man,One
ohne,without
Menschen,People
deinen,Your
leid,sorrow
Wieso,Why
dort,there
Als,Than
Hause,Home
sollten,should
davon,therefrom
zusammen,together
geben,to give
Ok,OK
Hör,Aural
machst,Do
Freund,Friend
richtig,correct
Angst,Fear
Bist,Are
Tut,Does
Mit,With
viele,many
sieht,sees
Haus,House
